date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,relative_humidity,rainfall_mm,snowfall_mm
2020-01-06,Spain,0,0,0,0,,,,,46937060,5.524691,-0.54321,13.660494,68.299798,0,
2020-01-06,Malta,0,0,0,0,,,,,493559,9.105556,5.133333,12.555556,46.789026,0,
2020-01-06,Portugal,0,0,0,0,,,,,10276617,9.583333,4.923611,14.152778,82.00683,0,
2020-01-06,Luxembourg,0,0,0,0,,,,,613894,1.183333,-1.416667,4.383333,87.07779,0,
2020-01-06,Armenia,0,0,0,0,,,,,2963234,-2.811111,-6.833333,1.933333,80.071345,0,
2020-01-06,Finland,0,0,1,0,,,,,5517919,-1.533333,-7.172222,0.555556,95.977048,1.524,85.634286
2020-01-06,Slovakia,0,0,0,0,,,,,5450421,-8.425926,-12.808642,-3.246914,74.974883,4.741333,573.7225
2020-01-06,Greece,0,0,0,0,,,,,10724599,5.3,3.95,7.144444,68.517738,5.297714,
2020-01-06,Ukraine,0,0,0,0,,,,,43733759,-0.263889,-2.527778,1.027778,84.48445,0.254,10.16
2020-01-06,United Kingdom,0,0,0,0,,,,,66647112,6.592593,4.481481,7.864198,84.42677,1.354667,
2020-01-06,Norway,0,0,0,0,,,,,5328212,5.222222,3.185185,7.104938,92.084218,8.509,309.88
2020-01-06,France,0,0,0,0,,,,,67012883,3.555556,-1.744444,10.177778,83.102716,0,
2020-01-06,Italy,0,0,0,0,,,,,60359546,7.563492,3.801587,11.214286,46.062775,0,
2020-01-06,Bosnia and Herzegovina,0,0,0,0,,,,,3280815,-2.037037,-5.364198,1.197531,62.149907,2.38125,180.34
2020-01-06,Lithuania,0,0,0,0,,,,,2794184,0.263889,-2.486111,1.444444,93.778171,2.032,10.16
2020-01-06,Czech Republic,0,0,0,0,,,,,10649800,-2.533333,-5.85,0.75,85.608052,3.9878,20.32
2020-01-06,Faroe Islands,0,0,0,0,,,,,48865,8.425926,5.962963,9.907407,86.151986,10.922,
